lambda_max,effective_lambda,top_share,selected_opps,baseline_selected_revenue,focus_revenue,total_unmodified,net_vs_baseline_usd,net_vs_baseline_pct
2.0,1.335,0.665,15126,322449389.0,430469934.315,384935607.0,45534327.315,11.829076470704347
2.0,1.33,0.67,15240,323538461.0,430306153.13,384935607.0,45370546.129999995,11.786528786878382
2.0,1.325,0.675,15354,325082303.0,430734051.47499996,384935607.0,45798444.474999964,11.897689806336874
2.0,1.32,0.68,15467,325672253.0,429887373.9599999,384935607.0,44951766.95999992,11.677736780531166
2.0,1.315,0.685,15581,326794842.0,429735217.22999996,384935607.0,44799610.22999996,11.638208940748873
2.0,1.31,0.69,15695,327354202.0,428834004.62,384935607.0,43898397.620000005,11.404088585652715
2.0,1.305,0.695,15808,328464883.0,428646672.315,384935607.0,43711065.315,11.355422704504448
2.0,1.3,0.7,15922,329603511.0,428484564.29999995,384935607.0,43548957.29999995,11.313309682988093
2.0,1.295,0.705,16036,331630956.0,429462088.02,384935607.0,44526481.01999998,11.567254421334926
2.0,1.29,0.71,16150,334457410.0,431450058.90000004,384935607.0,46514451.900000036,12.083696871409465
2.0,1.285,0.715,16263,336219216.0,432041692.56000006,384935607.0,47106085.56000006,12.237393658415208
2.0,1.28,0.72,16377,338060052.0,432716866.56,384935607.0,47781259.56,12.412792864859611
2.0,1.275,0.725,16491,338618011.0,431737964.025,384935607.0,46802357.024999976,12.158489932836991
2.0,1.27,0.73,16605,340094010.0,431919392.7,384935607.0,46983785.69999999,12.205622147082895
2.0,1.265,0.735,16718,341917918.0,432526166.27000004,384935607.0,47590559.27000004,12.363252036073668
2.0,1.26,0.74,16832,342716961.0,431823370.86,384935607.0,46887763.860000014,12.18067723727101
2.0,1.255,0.745,16946,343318436.0,430864637.17999995,384935607.0,45929030.17999995,11.931613845221634
2.0,1.25,0.75,17060,345054763.0,431318453.75,384935607.0,46382846.75,12.049507997320696
2.0,1.245,0.755,17173,347519672.0,432661991.64000005,384935607.0,47726384.640000045,12.398537254569963
2.0,1.24,0.76,17287,348309654.0,431903970.96,384935607.0,46968363.95999998,12.20161583025494
2.0,1.235,0.765,17401,348495015.0,430391343.525,384935607.0,45455736.524999976,11.808659863726234
2.0,1.23,0.77,17514,349463448.0,429840041.04,384935607.0,44904434.04000002,11.66544045898046
2.0,1.225,0.775,17628,349685911.0,428365240.975,384935607.0,43429633.975000024,11.282311426960302
2.0,1.22,0.78,17742,350059734.0,427072875.48,384935607.0,42137268.48000002,10.94657592432078
2.0,1.215,0.785,17856,350308841.0,425625241.81499994,384935607.0,40689634.81499994,10.57050428047306
2.0,1.21,0.79,17969,350860595.0,424541319.95,384935607.0,39605712.94999999,10.288919037307975
2.0,1.205,0.795,18083,351662643.0,423753484.815,384935607.0,38817877.815,10.084252303268993
2.0,1.2,0.8,18197,352613996.0,423136795.2,384935607.0,38201188.19999999,9.924046387322116
2.0,1.195,0.805,18311,353627035.0,422584306.8249999,384935607.0,37648699.82499993,9.780518907672775
2.0,1.19,0.81,18424,354388075.0,421721809.25,384935607.0,36786202.25,9.556456087991872
2.0,1.185,0.815,18538,354980997.0,420652481.445,384935607.0,35716874.44499999,9.27866214387385
2.0,1.18,0.82,18652,357788305.0,422190199.9,384935607.0,37254592.899999976,9.678136348659482
2.0,1.175,0.825,18765,358823126.0,421617173.04999995,384935607.0,36681566.04999995,9.529273307782082
2.0,1.17,0.83,18879,359263548.0,420338351.15999997,384935607.0,35402744.15999997,9.197056213092791
2.0,1.165,0.835,18993,360609541.0,420110115.265,384935607.0,35174508.264999986,9.137764245592383
2.0,1.16,0.84,19107,361476173.0,419312360.68000007,384935607.0,34376753.68000007,8.930520600033788
2.0,1.155,0.845,19220,362675631.0,418890353.805,384935607.0,33954746.80500001,8.820890088507705
2.0,1.15,0.85,19334,364382561.0,419039945.15,384935607.0,34104338.149999976,8.859751483057776
2.0,1.145,0.855,19448,364864597.0,417769963.565,384935607.0,32834356.564999998,8.529830955596672
2.0,1.14,0.86,19562,365964939.0,417200030.46000004,384935607.0,32264423.46000004,8.381771619272428
2.0,1.135,0.865,19675,367851490.0,417511441.15,384935607.0,32575834.149999976,8.462671043575343
2.0,1.13,0.87,19789,368208340.0,416075424.2,384935607.0,31139817.199999988,8.08961723304542
2.0,1.125,0.875,19903,368548147.0,414616665.375,384935607.0,29681058.375,7.710655453861404
2.0,1.12,0.88,20016,368936943.0,413209376.16,384935607.0,28273769.160000026,7.34506464090241
2.0,1.115,0.885,20130,369575189.0,412076335.735,384935607.0,27140728.735000014,7.050719196003086
