n_reps,opps_covered,revenue_retained,gross_margin_retained,sales_effort_cost,commission_cost,acquisition_cost,serving_cost,salesforce_cost,net_margin,net_margin_vs_baseline,revenue_share_retained,contribution_share_of_baseline,cost_share_of_baseline,marginal_revenue_last_batch,marginal_cost_last_rep,marginal_roi,baseline_reps,baseline_cost,baseline_revenue,baseline_gross_margin,baseline_effort_cost,baseline_commission_cost,baseline_acquisition_cost,baseline_serving_cost,baseline_total_cost,baseline_contribution
37,3700,178089192.0,116970519.72,4995000.0,12466243.440000001,7799300.0,14247135.360000001,39507678.800000004,77462840.92,-43206305.39,0.46264670963525595,0.6419440535445353,0.2983755400054081,213344.90999999992,527008.55,0.4048224834302971,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
38,3800,179822463.0,118081102.38000001,5130000.0,12587572.410000002,8003500.0,14385797.04,40106869.45,77974232.93,-42694913.379999995,0.4671494653390171,0.6461820217877698,0.3029008332949734,511392.01000000024,599190.6499999999,0.8534712782984853,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
39,3900,181260729.0,119000900.13,5265000.0,12688251.030000001,8195700.0,14500858.32,40649809.35,78351090.78,-42318055.53,0.4708858461098404,0.6493050889637971,0.3070013016285618,376857.8500000001,542939.9,0.6941060143120814,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
40,4000,183656708.0,120561129.93,5400000.0,12855969.560000002,8417100.0,14692536.64,41365606.2,79195523.73,-41473622.58,0.4771102092407887,0.6563030082813884,0.31240724493224487,844432.9499999998,715796.85,1.179710346587862,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
41,4100,187909583.0,123390931.95,5535000.0,13153670.81,8634250.0,15032766.64,42355687.45,81035244.5,-39633901.81,0.48815848568667225,0.6715489997071812,0.3198846780943769,1839720.7700000005,990081.25,1.858151308289093,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
42,4200,189504537.0,124470220.67,5670000.0,13265317.590000002,8844450.0,15160362.96,42940130.550000004,81530090.12,-39139056.19,0.49230191635662324,0.6756498459892022,0.32429859282846485,494845.6199999999,584443.1000000001,0.8466959743386478,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
43,4300,190812626.0,125331374.33000001,5805000.0,13356883.82,9053900.0,15265010.080000002,43480793.900000006,81850580.43000002,-38818565.87999998,0.4957001184876098,0.6783057884550308,0.32838186787567875,320490.3100000002,540663.35,0.5927723970933118,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
44,4400,192492712.0,126473832.81,5940000.0,13474489.840000002,9274300.0,15399416.96,44088206.800000004,82385626.00999999,-38283520.30000001,0.5000647082253422,0.6827397767309189,0.33296925841717906,535045.58,607412.9,0.8808597578352385,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
45,4500,193491138.0,127127764.75,6075000.0,13544379.660000002,9470450.0,15479291.04,44569120.7,82558644.05000001,-38110502.25999999,0.5026584563272163,0.6841735984267776,0.3366012851260883,173018.03999999992,480913.9,0.3597692643111374,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
46,4600,194556448.0,127804261.95000002,6210000.0,13618951.360000001,9702550.0,15564515.84,45096017.2,82708244.75000001,-37960901.55999999,0.5054259581655173,0.6854133577569355,0.3405805882005695,149600.69999999995,526896.5,0.28392805797723075,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
