n_reps,opps_covered,revenue_retained,gross_margin_retained,sales_effort_cost,commission_cost,acquisition_cost,serving_cost,salesforce_cost,net_margin,net_margin_vs_baseline,revenue_share_retained,contribution_share_of_baseline,cost_share_of_baseline,marginal_revenue_last_batch,marginal_cost_last_rep,marginal_roi,baseline_reps,baseline_cost,baseline_revenue,baseline_gross_margin,baseline_effort_cost,baseline_commission_cost,baseline_acquisition_cost,baseline_serving_cost,baseline_total_cost,baseline_contribution
47,4700,196281616.0,128977376.19,6345000.0,13739713.120000003,9869550.0,15702529.28,45656792.400000006,83320583.78999999,-37348562.52000001,0.5099076635952776,0.6904878864059314,0.34481575483662213,612339.04,560775.2,1.0919509992595966,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
48,4800,198202461.0,130223291.59000002,6480000.0,13874172.270000003,10094700.0,15856196.879999999,46305069.150000006,83918222.44000003,-36750923.869999975,0.5148977059947587,0.6954405911218883,0.34971176318814795,597638.6499999999,648276.75,0.9218881442223555,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
49,4900,199856667.0,131299594.21000001,6615000.0,13989966.690000001,10274000.0,15988533.36,46867500.05,84432094.16000001,-36237052.14999999,0.5191950637084087,0.6996991090257098,0.3539594342384458,513871.7200000002,562430.8999999999,0.9136619627406679,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
50,5000,201555748.0,132431009.26000002,6750000.0,14108902.360000001,10449550.0,16124459.84,47432912.2,84998097.06000002,-35671049.249999985,0.5236089993618075,0.7043896444053662,0.3582296207112049,566002.8999999998,565412.15,1.001044813062471,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
51,5100,204064727.0,134011212.36,6885000.0,14284530.89,10636550.0,16325178.16,48131259.05,85879953.31,-34789193.0,0.5301269180847694,0.7116976951952052,0.3635037756301677,881856.2499999998,698346.8500000001,1.2627768708343134,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
52,5200,205498804.0,134939672.22000003,7020000.0,14384916.280000001,10837850.0,16439904.32,48682670.6,86257001.62000003,-34412144.68999997,0.5338524165159915,0.7148223407365882,0.3676682247700263,377048.31000000006,551411.55,0.6837874723516402,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
53,5300,208795655.0,137027039.84,7155000.0,14615695.850000001,11013850.0,16703652.400000002,49488198.25,87538841.59,-33130304.72,0.5424170983486077,0.7254451056205538,0.3737518458497349,1281839.97,805527.6500000001,1.591304742922232,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
54,5400,211826874.0,139029375.76,7290000.0,14827881.180000002,11238650.0,16946149.919999998,50302681.099999994,88726694.65999998,-31942451.65000002,0.55029171151735,0.7352889895488313,0.3799030996711539,1187853.07,814482.8500000001,1.4584138511940428,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
55,5500,213382810.0,139998556.08,7425000.0,14936796.700000001,11399250.0,17070624.799999997,50831671.5,89166884.58000001,-31502261.72999999,0.554333779779432,0.7389368973484702,0.38389821659656737,440189.92000000004,528990.4,0.8321321521146698,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
56,5600,214696161.0,140812833.70000002,7560000.0,15028731.27,11559250.0,17175692.88,51323674.14999999,89489159.55000003,-31179986.759999976,0.5577456517292254,0.7416076295103776,0.3876139893485175,322274.96999999986,492002.65,0.6550268987372321,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
57,5700,215519015.0,141323003.18,7695000.0,15086331.05,11726450.0,17241521.200000003,51749302.25,89573700.93,-31095445.379999995,0.5598832923762234,0.7423082342845491,0.39082847873479293,84541.38,425628.10000000003,0.19862734626778636,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
58,5800,216922822.0,142258806.0,7830000.0,15184597.540000003,11947150.0,17353825.759999998,52315573.300000004,89943232.69999999,-30725913.610000014,0.5635301542785051,0.745370589338016,0.3951051519149237,369531.7699999999,566271.05,0.6525704783954608,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
59,5900,217343193.0,142540695.58,7965000.0,15214023.510000002,12173150.0,17387455.44,52739628.95,89801066.63000001,-30868079.679999992,0.5646222096570037,0.7441924416975683,0.3983077656195054,-142166.06999999995,424055.64999999997,-0.3352533329057164,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
60,6000,218245391.0,143129128.16,8100000.0,15277177.370000001,12344450.0,17459631.28,53181258.650000006,89947869.50999999,-30721276.800000012,0.5669659730906629,0.7454090151505937,0.401643104576952,146802.88000000012,441629.69999999995,0.3324117014775051,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
61,6100,219980364.0,144267574.06,8235000.0,15398625.480000002,12548650.0,17598429.119999997,53780704.6,90486869.46000001,-30182276.849999994,0.5714731503131639,0.7498757737751663,0.406170325979676,538999.95,599445.95,0.8991635526105398,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
62,6200,221481266.0,145212938.68,8370000.0,15503688.620000001,12775050.0,17718501.28,54367239.900000006,90845698.78,-29823447.53,0.5753722492084241,0.7528494363142064,0.41060004172571307,358829.31999999995,586535.3,0.6117778759436984,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
