lambda_max,effective_lambda,top_share,selected_opps,baseline_selected_revenue,focus_revenue,total_unmodified,net_vs_baseline_usd,net_vs_baseline_pct
1.5,1.445,0.11,2502,182711417.0,264017997.565,384935607.0,-120917609.435,-31.41242515270872
1.5,1.4425,0.115,2616,186403589.0,268887177.1325,384935607.0,-116048429.8675,-30.147491621241475
1.5,1.44,0.12,2730,191577523.0,275871633.12,384935607.0,-109063973.88,-28.33304373424722
1.5,1.4375,0.125,2843,197509532.0,283919952.25,384935607.0,-101015654.75,-26.242221533431696
1.5,1.435,0.13,2957,201668130.0,289393766.55,384935607.0,-95541840.44999999,-24.82021374811397
1.5,1.4325,0.135,3071,205664031.0,294613724.4075,384935607.0,-90321882.59249997,-23.464153731171965
1.5,1.43,0.14,3184,209009980.0,298884271.4,384935607.0,-86051335.60000002,-22.354735190813358
1.5,1.4275,0.145,3298,212668526.0,303584320.865,384935607.0,-81351286.13499999,-21.133738904803366
1.5,1.425,0.15,3412,216657970.0,308737607.25,384935607.0,-76197999.75,-19.79499905032168
1.5,1.4225,0.155,3526,222047930.0,315863180.42499995,384935607.0,-69072426.57500005,-17.943891216849693
1.5,1.42,0.16,3639,227795443.0,323469529.06,384935607.0,-61466077.94,-15.967885750823774
1.5,1.4175,0.165,3753,230686118.0,326997572.265,384935607.0,-57938034.735000014,-15.051357598882763
1.5,1.415,0.17,3867,236168802.0,334178854.83,384935607.0,-50756752.17000002,-13.185777373408847
1.5,1.4125,0.175,3981,241083541.0,340530501.6625,384935607.0,-44405105.337499976,-11.535722996262066
1.5,1.41,0.18,4094,246723564.0,347880225.24,384935607.0,-37055381.75999999,-9.626384539687438
1.5,1.4075,0.185,4208,250090514.0,352002398.455,384935607.0,-32933208.545000017,-8.555511089676882
1.5,1.405,0.19,4322,254782670.0,357969651.35,384935607.0,-26965955.649999976,-7.005315995617933
1.5,1.4025,0.195,4435,257270328.0,360821635.02,384935607.0,-24113971.98000002,-6.2644170976887565
1.5,1.4,0.2,4549,259823287.0,363752601.79999995,384935607.0,-21183005.200000048,-5.50299967443647
1.5,1.3975,0.205,4663,261907374.0,366015555.16499996,384935607.0,-18920051.83500004,-4.9151212542933305
1.5,1.395,0.21,4777,264240750.0,368615846.25,384935607.0,-16319760.75,-4.239607989811134
1.5,1.3925,0.215,4890,267959740.0,373133937.95000005,384935607.0,-11801669.049999952,-3.065881367010026
1.5,1.39,0.22,5004,273453454.0,380100301.06000006,384935607.0,-4835305.939999938,-1.256133714852714
1.5,1.3875,0.225,5118,277323504.0,384786361.8,384935607.0,-149245.19999998808,-0.038771471717857775
1.5,1.385,0.23,5232,280874950.0,389011805.75,384935607.0,4076198.75,1.0589300329392426
1.5,1.3825,0.235,5345,283883078.0,392468355.33500004,384935607.0,7532748.335000038,1.9568853070534464
1.5,1.38,0.24,5459,286848252.0,395850587.76,384935607.0,10914980.75999999,2.8355341936450174
1.5,1.3775,0.245,5573,289791079.0,399187211.3225,384935607.0,14251604.32249999,3.7023346407390134
1.5,1.375,0.25,5686,293270734.0,403247259.25,384935607.0,18311652.25,4.757068953093757
1.5,1.3725,0.255,5800,295521546.0,405603321.885,384935607.0,20667714.88499999,5.369135644809275
1.5,1.37,0.26,5914,297020723.0,406918390.51000005,384935607.0,21982783.51000005,5.710769050783093
